NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
28.9,6.9,53,,,51.6,18
29,6.9,68,458,68,54,18
29.1,6.9,57,,,51.6,18
29.2,6.9,52,326,46,52.6,20
29.8,7,59,,,54.7,20
28.9,7,49,,,52.2,20
29.3,6.9,48,292,41,51.6,20
29.7,6.9,53,,,54.7,18
,6.9,52,,,51.9,18
29.3,6.9,57,337,47,51.7,20
29.5,6.9,57,,,51.7,20
29.3,6.9,57,,,51.3,20
29.2,6.8,67,400,54,51.5,20
29.9,6.9,61,,,50.1,20
29.4,6.8,60,,,54.6,20
29.2,6.9,52,348,57,52.7,20
,6.9,50,,,51.9,20
,6.9,82,494,73,52.5,20
29,7,87,483,80,53.2,20
29.2,6.8,97,,,55.4,20
28.8,6.9,76,,,53.2,22
28.9,6.8,65,,,55.7,22
28.9,6.8,81,,,58.5,22
28.5,6.8,69,,,55.4,22
28.9,6.9,60,,,54.7,20
28.4,6.9,61,,,56.3,20
28.7,6.8,62,363,51,55.8,20
,6.9,59,,,54.8,20
28.9,6.8,61,,,57.7,20
28.8,6.9,58,363,54,58.3,20
29,6.9,65,,,54.5,20
28.8,6.9,61,,,53.2,20
28.7,6.8,51,311,39,55.3,20
,6.9,64,,,56.4,20
29.2,6.9,56,,,55.7,22
28.9,6.8,51,420,44,56.2,20
29.7,6.9,59,,,55.6,20
,6.9,57,,,52.2,20
28.8,6.9,52,367,48,54.7,18
28.8,6.9,55,,,60.2,18
28.9,6.9,47,,,56.2,20
28.9,6.9,46,306,40,55,20
29.2,6.9,58,368,58,58.4,20
29,6.8,71,,,55.9,22
28.8,6.8,74,,,53.8,22
29.1,6.9,84,,,57.2,24
28.9,6.9,69,398,59,53.5,24
28.8,6.8,61,373,56,56,20
29,6.9,76,,,53,20
28.9,6.9,76,,,57.4,22
28.4,6.8,73,424,60,61.1,22
,6.9,95,630,64,61.2,22
28.2,6.8,105,,,59,22
28.5,6.9,110,692,92,53.9,26
28.7,6.9,119,,,56.4,22
28.3,6.8,134,,,56.9,28
28.5,6.8,83,515,68,56.8,24
29.8,6.8,80,,,58.9,24
29.2,6.9,79,,,60.5,24
28.9,6.9,56,342,46,56.5,20
,6.9,52,,,56.4,20
28.3,6.9,60,,,63.3,20
28.8,7,55,331,52,55.3,20
29.6,7,53,,,54.5,20
29.6,6.9,56,,,56.4,22
29.2,6.9,65,378,58,54,22
29.2,6.9,69,,,52.3,22
28.8,6.9,93,,,50.8,22
28.2,7,116,664,105,50.9,24
29,7,99,535,86,53.4,22
29.2,6.9,97,,,54.5,22
28.3,6.9,75,,,50.9,22
29.3,6.9,87,,,51,22
29.6,6.9,82,,,54.3,24
29.1,6.9,61,362,53,58.1,22
29.7,6.9,51,,,58.8,22
29.3,6.9,43,,,54,22
29.2,6.9,41,249,39,54.7,20
,,42,,,56.5,20
28.8,6.9,34,188,30,54,20
29.2,6.9,37,227,33,55.5,20
30.1,6.9,44,,,57,20
,6.9,40,,,53.6,20
29.4,6.9,37,221,30,54.8,18
,6.9,44,,,56.8,18
,6.9,37,,,58.6,18
29.1,7,36,225,32,53.2,18
29.8,7,45,,,57,18
30.3,6.9,38,,,54.1,20
29.9,6.9,34,211,29,53.7,18
30.5,6.9,46,278,41,57,18
,7,43,,,56.1,18
28.8,6.9,38,209,34,54.5,18
30.5,6.9,38,,,57.7,20
30.1,7,37,,,55.1,20
29.5,6.9,37,216,36,56.8,18
29.8,6.9,46,,,59,20
29.7,6.9,46,,,61.4,20
29.3,6.9,46,265,44,57.3,20
,6.9,65,,,55.7,20
30.2,6.9,73,,,57.2,20
29.6,6.9,83,485,69,51.5,20
30.8,7,81,,,53.3,22
,6.9,76,,,55.2,22
29.2,6.9,87,509,73,52.6,22
,7,91,,,55.2,22
29.5,6.8,98,636,90,58.7,22
29.5,6.9,103,602,92,56.2,24
,6.8,109,,,55.2,24
,6.9,105,,,57.3,24
29.5,6.8,63,380,52,57.6,22
,6.8,57,,,57.4,22
29.3,6.8,59,,,59,22
29.3,6.8,44,264,38,54.8,18
,6.8,45,,,57.7,18
,6.9,46,,,55.8,18
,6.9,45,270,39,55,20
30,6.9,42,,,54.6,20
,6.9,41,,,55.9,20
29.1,6.9,40,236,33,56,20
29.7,7,48,,,57.9,20
29.8,7,42,,,56.8,20
29.6,7,56,321,49,56.6,22
29.2,7,66,,,58.7,22
29.2,6.9,53,,,55.7,22
28.8,6.9,73,422,55,52.6,26
29.3,6.9,103,,,54.6,26
28.8,6.9,77,,,54,26
28.8,6.9,76,,,52,22
,6.9,109,,,54.8,22
,6.9,91,,,52.4,22
28.8,6.8,79,458,60,52.4,24
29.2,6.9,80,,,55.5,24
,6.9,64,,,54.9,24
28.9,6.9,65,390,52,51.8,20
29.1,6.9,85,,,55,20
,6.9,65,390,52,52.4,20
28.9,6.9,64,396,52,51.2,18
29.5,6.9,85,,,53.9,18
29.1,6.9,81,,,55.1,18
28.9,6.9,53,335,48,51.5,18
29.8,6.9,64,374,58,54.5,18
29.3,7,68,,,54.3,18
28.9,6.9,69,420,58,50.5,18
